LogR;LogC;Rank;Counter;Pattern;Class
2,271842;2,397940;187;250;0,0,0,0,0,0,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,;1
2,274158;2,396199;188;249;0,0,0,198,198,198,198,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;0
2,276462;2,396199;189;249;0,0,0,0,0,0,198,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;0
2,278754;2,392697;190;247;255,255,255,255,255,255,255,255,255,198,255,255,198,255,255,198,255,255,255,255,255,255,255,255,255,255,255,;0
2,281033;2,390935;191;246;198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,124,124,124,124,124,124,124,124,124,;1
2,283301;2,389166;192;245;198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,255,255,255,255,255,255,255,255,255,;1
2,285557;2,387390;193;244;0,124,124,0,124,124,0,124,124,0,124,124,0,124,124,0,124,124,0,124,124,0,124,124,0,124,124,;0
2,287802;2,385606;194;243;198,198,255,198,198,255,198,198,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,;0
2,290035;2,385606;195;243;0,0,0,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,;1
2,292256;2,383815;196;242;255,255,255,255,255,255,255,255,255,255,255,198,255,255,198,255,255,198,255,255,255,255,255,255,255,255,255,;0
2,294466;2,383815;197;242;198,198,198,198,198,198,198,198,198,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,;1
2,296665;2,380211;198;240;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,198,198,198,198,198,198,198,198,198,198,198,;1
2,298853;2,378398;199;239;198,198,198,198,198,198,198,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,;0
2,301030;2,378398;200;239;124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,0,0,0,0,0,0,0,0,0,;1
2,303196;2,378398;201;239;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,198,198,255,198,198,255,198,198,;1
2,305351;2,376577;202;238;255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,198,255,255,198,255,255,255,255,255,;0
2,307496;2,374748;203;237;255,255,255,255,255,255,255,255,255,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,;1
2,309630;2,374748;204;237;0,0,0,0,0,0,0,0,0,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,;0
2,311754;2,372912;205;236;255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,198,255,255,198,255,255,198,255,;0
2,313867;2,369216;206;234;255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,0,0,0,0,0,0,0,0,0,;1
2,315970;2,369216;207;234;0,0,0,0,0,0,0,0,0,0,0,0,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,;1
2,318063;2,367356;208;233;255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,198,255,255,255,255,255,255,255,255,;0
2,320146;2,367356;209;233;198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,255,255,198,255,255,198,255,255,;0
2,322219;2,365488;210;232;124,124,124,124,124,124,124,124,124,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,;0
2,324282;2,361728;211;230;198,198,0,198,198,0,198,198,0,198,198,0,198,198,0,198,198,0,198,198,0,198,198,0,198,198,0,;0
2,326336;2,359835;212;229;124,198,198,124,198,198,124,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;1
